Star Name,RA (deg),DEC (deg),X (mm),Y (mm),Aperture (mm),Inside Hexagon
Rigel (Beta Orionis),78.6345,-8.2016,-7.426,-20.628,1.0000,Yes
Betelgeuse (Alpha Orionis),88.7929,7.4070,12.702,10.594,0.8831,Yes
Bellatrix (Gamma Orionis),81.2828,6.3497,-2.131,8.400,0.5105,Yes
Alnilam (Epsilon Orionis),84.0534,-1.2019,3.342,-6.547,0.4989,Yes
Alnitak (Zeta Orionis),85.1897,-1.9426,5.596,-8.021,0.4875,Yes
Saiph (Kappa Orionis),86.9391,-9.6696,9.121,-23.666,0.4188,Yes
Mintaka (Delta Orionis),83.0017,-0.2991,1.259,-4.758,0.3855,Yes
Hatysa (Iota Orionis),83.8582,-5.9099,2.964,-15.950,0.3062,Yes
Tabit (Pi-3 Orionis),72.4589,6.9613,-19.695,9.821,0.2500,Yes
Saif al Jabbar (Eta Orionis),81.1192,-2.3971,-2.468,-8.920,0.2323,Yes
Meissa (Lambda Orionis),83.7845,9.9342,2.789,15.568,0.2280,Yes
Tau Orionis,79.4017,-6.8444,-5.891,-17.852,0.2080,Yes
Pi-4 Orionis,72.8015,5.6051,-19.018,7.075,0.1995,Yes
Pi-5 Orionis,73.5629,2.4407,-17.515,0.716,0.1968,Yes
Sigma Orionis,84.6865,-2.6001,4.600,-9.327,0.1914,Yes
Phi-2 Orionis,84.2264,9.2914,3.660,14.280,0.1652,Yes
Mu Orionis,90.5958,9.6474,16.284,15.183,0.1629,Yes
32 Orionis,82.6960,5.9482,0.652,7.601,0.1570,Yes
Nu Orionis,91.8930,14.7685,18.830,25.843,0.1419,Yes
Rho Orionis,78.3228,2.8613,-7.991,1.504,0.1393,Yes
