Star Name,HIP ID, RA hms,DEC hms,MAG,
Rigel (Beta Orionis),24436,05 14 32.27,-08 12 05.9,0.18,
Betelgeuse (Alpha Orionis),27989,05 55 10.29,+07 24 25.3,0.45,
Bellatrix (Gamma Orionis),25336,05 25 07.87,+06 20 59.0,1.64,
Alnilam (Epsilon Orionis),26311,05 36 12.81,-01 12 06.9,1.69,
Alnitak (Zeta Orionis),26727,05 40 45.52,-01 56 33.3,1.74,
Saiph (Kappa Orionis),27366,05 47 45.39,-09 40 10.6,2.07,
Mintaka (Delta Orionis),25930,05 32 00.40,-00 17 56.7,2.25,
Hatysa (Iota Orionis),26241,05 35 25.98,-05 54 35.6,2.75,
Tabit (Pi-3 Orionis),22449,4 49 50.14,+06 57 40.5,3.19,
Saif al Jabbar (Eta Orionis),25281,05 24 28.62,-02 23 49.7,3.35,
Meissa (Lambda Orionis),26207,05 35 08.28,+09 56 03.0,3.39,
Tau Orionis,24674,05 17 36.40,-06 50 39.8,3.59,
Pi-4 Orionis,22549,4 51 12.37,+05 36 18.4,3.68,
Pi-5 Orionis,22797,04 54 15.10,+02 26 26.4,3.71,
Sigma Orionis,26549,05 38 44.77,-02 36 00.2,3.77,
Phi-2 Orionis,26366,05 36 54.33,+09 17 29.1,4.09,
Mu Orionis,28614,06 02 22.99,+09 38 50.5,4.12,
32 Orionis,25813,05 30 47.05,+05 56 53.6,4.2,
Nu Orionis,29038,06 07 34.32,+14 46 06.7,4.42,
Rho Orionis,24331,05 13 17.48,+02 51 40.5,4.46,
,,,,,
,,,,,
